Draw Date,Draw Number,Draw Time,Winning Numbers,Extra
01/22/2023,2542808,11:08,02 08 09 15 19 21 22 30 32 37 42 47 53 57 59 60 67 68 70 72,02
01/22/2023,2542809,11:12,05 12 14 18 26 34 43 44 47 56 59 60 61 65 68 69 70 74 76 78,05
01/22/2023,2542810,11:16,03 04 05 06 07 13 15 18 28 31 32 41 44 53 57 60 66 70 72 74,01
01/22/2023,2542811,11:20,01 03 08 09 10 18 19 23 30 33 41 42 43 46 49 60 61 67 77 78,02
01/22/2023,2542812,11:24,01 12 15 21 26 30 32 34 37 38 43 44 50 53 55 56 58 62 64 74,01
01/22/2023,2542813,11:28,01 08 09 13 18 28 36 37 38 39 42 48 49 50 57 58 59 71 72 75,03
01/22/2023,2542814,11:32,05 09 11 13 15 19 24 26 28 32 41 42 48 49 50 54 59 62 67 70,02
01/22/2023,2542815,11:36,01 03 04 10 11 20 22 23 28 33 34 37 47 55 67 69 71 72 73 78,02
01/22/2023,2542816,11:40,01 04 05 06 11 13 21 22 27 29 38 40 43 44 45 53 54 55 62 70,02
01/22/2023,2542817,11:44,09 12 16 32 33 37 44 47 48 51 52 53 55 57 61 62 64 65 68 72,02
01/22/2023,2542818,11:48,06 12 18 20 23 25 28 31 32 36 44 46 48 50 60 63 66 67 75 76,01
01/22/2023,2542819,11:52,01 05 14 19 20 23 27 28 30 39 45 48 49 51 54 59 66 69 70 80,01
01/22/2023,2542820,11:56,03 06 13 14 20 25 27 31 32 40 44 49 54 55 60 62 64 66 69 73,01
01/22/2023,2542821,12:00,02 06 08 11 28 35 37 39 42 44 45 47 50 51 55 56 62 63 64 67,01
01/22/2023,2542822,12:04,01 06 11 13 20 23 24 27 28 37 38 50 51 53 54 58 76 77 79 80,02
01/22/2023,2542823,12:08,04 05 14 16 18 19 21 31 33 38 43 44 47 49 55 56 64 73 74 77,02
01/22/2023,2542824,12:12,01 07 18 22 26 27 35 39 40 41 48 53 58 59 61 62 66 67 71 78,01
01/22/2023,2542825,12:16,05 11 13 14 15 26 27 29 36 37 40 44 53 55 64 67 68 70 79 80,02
01/22/2023,2542826,12:20,02 06 13 20 24 26 28 30 32 38 39 43 56 61 66 67 72 73 75 80,02
01/22/2023,2542827,12:24,13 14 17 19 21 24 27 31 32 36 38 43 45 47 58 62 63 74 76 79,01
01/22/2023,2542828,12:28,06 08 13 14 17 20 24 27 32 34 37 38 41 42 50 58 59 63 73 77,01
01/22/2023,2542829,12:32,01 06 10 20 22 25 27 29 32 33 41 46 48 50 53 54 58 69 74 78,05
01/22/2023,2542830,12:36,08 09 10 11 13 19 20 23 24 32 37 46 52 53 56 66 69 73 76 79,02
01/22/2023,2542831,12:40,18 23 26 27 29 31 35 36 40 43 47 50 52 53 55 62 67 73 75 76,01
01/22/2023,2542832,12:44,01 03 04 18 19 28 30 41 43 44 45 47 48 51 55 64 65 73 76 79,04
